Company Name,Source,Industry
Heron,Data Center Contacts,Tech
Swift solar,Data Center Contacts,Solar developer
Planted Solar,Data Center Contacts,Solar Developer
Terabase,Data Center Contacts,Software
Offgrid AI?,Data Center Contacts,Non-profit / Market maker
Oracle,Data Center Contacts,Hyperscaler
OpenAI,Data Center Contacts,Hyperscaler
Microsoft,Data Center Contacts,Hyperscaler
Equinix,Data Center Contacts,Hyperscaler
Meta,Data Center Contacts,Hyperscaler
Google,Data Center Contacts,Hyperscaler
Amazon,Data Center Contacts,Hyperscaler
Softbank,Data Center Contacts,Financiers
Nexus Data Centers,Data Center Contacts,Financiers
Morgan Stanley,Data Center Contacts,Financiers
KKR,Data Center Contacts,Financiers
JP Morgan,Data Center Contacts,Financiers
"AIP (Blackrock, GIP, MGW, Nvidia, Microsoft)",Data Center Contacts,Financier / Developer Consortium
Grok,Data Center Contacts,Financier
Brookfield Asset Managemen,Data Center Contacts,Financier
Scale Microgrids?,Data Center Contacts,Developer
Nextera,Data Center Contacts,Developer
Crusoe,Data Center Contacts,Developer
Chevron,Data Center Contacts,Developer
Adani,Data Center Contacts,Developer
Digital Realty,Data Center Contacts,Data Center
AES,Data Center Contacts,
HSBC,Project Financiers,Finance
Copenhagen Infrastructure,Project Financiers,Finance
X-Caliber,Project Financiers,Finance
Grok,Project Financiers,Finance
Kyotherm,Project Financiers,Finance
CAI,Project Financiers,Finance
S2G,Project Financiers,Finance
Siemens,Project Financiers,Finance
Just Climate,Project Financiers,Finance
Galvanize,Project Financiers,Finance
Aethra,Project Financiers,Finance
Builders Vision,Project Financiers,Finance
Emerson,Project Financiers,Finance
Troper Wojcicki Philanthropies,Project Financiers,Finance
Earth Foundry,Project Financiers,Finance
Generate,Project Financiers,Finance
Ara Partners,Project Financiers,Finance
Spring Lane,Project Financiers,Finance
Khasma Capital,Project Financiers,Finance
Capricorn,Project Financiers,Finance
Vision Ridge,Project Financiers,Finance
Antin,Project Financiers,Finance
Brookfield,Project Financiers,Finance
EIG,Project Financiers,Finance
Kennedy Lewis,Project Financiers,Finance
Keyframe,Project Financiers,Finance
Australian Energy Market Commission (AEMC),Utility Targets,Utilities
Australian Energy Regulator (AER),Utility Targets,Utilities
Australian Energy Market Operator (AEMO),Utility Targets,Utilities
VicGrid,Utility Targets,Utilities
AusNet,Utility Targets,Utilities
Powercor/United Energy,Utility Targets,Utilities
Western Power,Utility Targets,Utilities
Transgrid,Utility Targets,Utilities
Essential Energy,Utility Targets,Utilities
Endeavour Energy,Utility Targets,Utilities
Ausgrid,Utility Targets,Utilities
Shell/SnowyHydro/EnergyAustralia/SEC,Utility Targets,Utilities
